Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Marvin Bagley III,C,23,DET,42,25,990,202,382,19,66,183,316,81,108,94,175,269,36,19,30,46,81
Khris Middleton,SF,31,MIL,33,19,801,177,406,51,162,126,244,92,102,28,112,140,163,23,5,71,68
Obi Toppin,PF,24,NYK,67,5,1050,187,419,85,247,102,172,38,47,29,158,187,66,23,12,38,68
Kendrick Nunn,SG,27,TOT,70,2,964,191,450,79,223,112,227,35,41,15,94,109,90,28,7,66,66
Cameron Payne,PG,28,PHO,48,15,968,188,453,68,185,120,268,49,64,12,94,106,214,33,8,81,88
Taurean Prince,PF,28,MIN,54,4,1192,177,379,74,194,103,185,65,77,15,117,132,84,28,15,69,123
Isaac Okoro,SF,22,CLE,76,46,1652,175,354,62,171,113,183,78,103,52,135,187,87,56,30,42,158
Aaron Wiggins,SG,24,OKC,70,14,1297,186,363,48,122,138,241,59,71,68,142,210,80,39,15,55,110
Nicolas Batum,PF,34,LAC,78,19,1709,160,381,124,317,36,64,34,48,62,237,299,121,54,44,50,149
Dennis Smith Jr.,PG,25,CHO,54,15,1390,186,452,24,111,162,341,78,106,27,140,167,261,75,25,82,122
Ochai Agbaji,SG,22,UTA,59,22,1209,165,386,81,228,84,158,56,69,43,78,121,67,16,15,41,99
Pat Connaughton,SF,30,MIL,61,33,1443,165,421,109,322,56,99,27,41,50,233,283,77,37,11,33,69
David Roddy,PF,21,MEM,70,4,1258,180,420,65,212,115,208,41,65,50,143,193,59,29,19,57,107
Trendon Watford,PF,22,POR,62,12,1182,181,323,25,64,156,259,72,100,42,196,238,130,32,12,71,118
Jock Landale,C,27,PHO,69,4,979,178,337,21,84,157,253,79,105,119,161,280,68,16,30,59,126
Isaiah Jackson,C,21,IND,63,12,1042,179,318,2,14,177,304,95,146,113,169,282,51,31,93,51,154
Davion Mitchell,PG,24,SAC,80,9,1447,181,399,63,197,118,202,25,31,16,89,105,185,44,15,62,112
James Wiseman,C,21,TOT,45,22,867,189,339,4,20,185,319,68,97,73,194,267,30,7,27,51,108
Victor Oladipo,SG,30,MIA,42,2,1106,160,403,70,212,90,191,59,79,16,112,128,146,57,12,87,99
Larry Nance Jr.,C,30,NOP,65,1,1381,186,305,14,42,172,263,55,79,106,248,354,119,56,37,42,133
Jeff Green,PF,36,DEN,56,4,1091,160,328,30,104,130,224,87,117,38,106,144,69,18,17,46,99
Mitchell Robinson,C,24,NYK,59,58,1591,188,280,0,0,188,280,59,122,267,288,555,53,56,109,41,160
Terence Davis,SG,25,SAC,64,5,841,154,364,89,243,65,121,34,43,20,119,139,67,43,12,53,104
Xavier Tillman Sr.,C,24,MEM,61,29,1180,188,306,4,15,184,291,49,89,121,186,307,96,58,29,44,97
Cory Joseph,PG,31,DET,62,2,1227,150,351,70,180,80,171,57,72,21,85,106,217,34,9,56,88
Kenrich Williams,PF,28,OKC,53,10,1206,179,346,50,134,129,212,17,39,97,164,261,105,45,14,32,112
Jaden Hardy,SG,20,DAL,48,5,708,146,333,63,156,83,177,65,79,11,78,89,65,17,7,46,64
Patrick Beverley,SG-PG,34,TOT,67,67,1816,144,360,80,239,64,121,47,65,44,203,247,194,63,41,60,187
