PLAYER,GP,PTS,FGM,FGA,3PM,3PA,FTM,FTA
Zavier Simpson,4,44,19,52,1,8,5,5
Haywood Highsmith,19,43,16,46,9,28,2,5
Trevelin Queen,10,43,15,33,9,24,4,4
Alize Johnson,23,41,17,39,0,4,7,12
Kevin Pangos,24,39,15,46,6,26,3,4
Tim Frazier,12,39,14,45,6,17,5,9
Jared Harper,5,37,14,26,5,12,4,4
Didi Louzada,9,35,12,33,9,23,2,2
Abdel Nader,14,34,12,35,4,14,6,10
Willie Cauley-Stein,20,34,16,35,1,2,1,2
Bol Bol,14,33,15,27,1,4,2,5
Brandon Knight,5,32,10,25,4,17,8,8
Melvin Frazier Jr.,3,32,13,48,1,21,5,7
Udonis Haslem,13,32,14,31,1,4,3,3
Chaundee Brown Jr.,5,31,10,32,6,18,5,6
Paul Watson,9,31,12,35,6,26,1,2
Charlie Brown Jr.,22,30,10,39,1,12,9,10
D.J. Wilson,4,30,11,15,0,2,8,10
Luke Kornet,15,30,13,27,0,5,4,6
Quinndary Weatherspoon,11,30,12,21,1,5,5,5
Devon Dotson,11,29,11,23,2,9,5,9
James Ennis III,7,29,11,24,3,8,4,5
Ed Davis,31,28,11,16,0,0,6,14
Mason Jones,4,27,7,15,1,4,12,15
BJ Johnson,4,26,11,25,4,10,0,0
Chris Silva,10,26,8,15,0,0,10,12
Sam Merrill,6,25,8,24,7,23,2,4
Cameron Oliver,2,23,10,15,1,3,2,3
Carsen Edwards,4,23,9,30,4,16,1,1
Kai Jones,21,22,9,14,1,2,3,8
Wes Iwundu,3,22,8,18,3,5,3,4
Brodric Thomas,12,21,8,18,2,9,3,5
Freddie Gillespie,9,21,9,22,0,1,3,7
Malik Fitts,15,21,8,19,5,10,0,0
Rayjon Tucker,5,21,6,9,4,5,5,7
Isaiah Todd,12,20,7,26,4,16,2,6
Vernon Carey Jr.,7,20,7,13,0,0,6,13
Derrick Walton Jr.,3,19,6,26,3,13,4,4
Jeff Dowtin Jr.,9,19,8,26,1,9,2,2
Gabriel Deck,7,18,8,14,2,4,0,0
Nik Stauskas,8,18,5,14,4,10,4,6
Marko Simonovic,9,17,4,15,1,5,8,11
Tyler Johnson,6,17,6,20,5,13,0,0
Tyrone Wallace,6,17,7,20,2,8,1,5
Ryan Arcidiacono,10,16,6,12,4,9,0,0
Justin Jackson,7,15,5,15,3,9,2,2
RJ Nembhard Jr.,14,15,6,18,0,2,3,4
Aleem Ford,5,14,6,20,2,15,0,0
Cameron McGriff,3,14,5,14,2,6,2,2
Cassius Winston,7,14,4,11,2,6,4,4
Langston Galloway,7,14,6,26,2,16,0,0
Petr Cornelie,13,14,5,15,1,8,3,4
Sekou Doumbouya,2,14,5,8,1,2,3,4
Gabriel Lundberg,4,13,5,19,3,8,0,0
Marcus Garrett,12,13,5,21,1,4,2,5
Myles Powell,11,13,5,17,1,6,2,2
Yves Pons,12,13,5,16,3,9,0,2
Isaac Bonga,15,12,3,13,1,4,5,8
Micah Potter,3,12,5,11,0,2,2,2
Tacko Fall,11,12,5,12,0,0,2,7
Cheick Diallo,3,11,3,8,0,0,5,6
Tremont Waters,3,10,4,14,2,9,0,0
Daniel Oturu,3,9,3,6,0,1,3,5
Gabe York,2,8,2,7,1,6,3,5
Mac McClung,2,8,3,6,1,3,1,1
Malik Newman,1,8,3,5,0,1,2,2
Solomon Hill,13,8,3,20,2,13,0,0
Eugene Omoruyi,4,7,2,5,1,2,2,4
Robert Woodard II,12,7,2,16,1,4,2,2
Sharife Cooper,13,7,3,14,1,6,0,0
Craig Sword,3,6,3,4,0,1,0,0
Dakota Mathias,6,6,2,6,2,6,0,0
Norvel Pelle,3,6,3,5,0,0,0,0
Paris Bass,2,6,2,6,0,2,2,2
Trevon Scott,2,6,3,6,0,1,0,0
