Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
Brandin Echols,NYJ,26,CB,14,1,1,1,100.0%,18,18.0,0,1,100.0,18,18.0,0.1,1.3,0
Chris Evans,CIN,26,RB,8,0,1,1,100.0%,-1,-1.0,0,0,0.0,-1,-1.0,0.1,-0.1,0
Simi Fehoko,LAC,26,WR,6,0,2,1,50.0%,9,9.0,1,1,50.0,9,4.5,0.2,1.5,0
Tucker Fisk,ATL,24,TE,6,2,1,1,100.0%,9,9.0,0,1,100.0,9,9.0,0.2,1.5,0
John FitzPatrick,ATL,23,TE,9,0,1,1,100.0%,12,12.0,0,1,100.0,12,12.0,0.1,1.3,0
Cole Fotheringham,LVR,26,TE,2,0,1,1,100.0%,6,6.0,0,0,100.0,6,6.0,0.5,3.0,0
Royce Freeman,LAR,27,RB,14,0,2,1,50.0%,13,13.0,0,1,50.0,13,6.5,0.1,0.9,0
Jake Funk,IND,25,RB,4,0,1,1,100.0%,12,12.0,0,1,100.0,12,12.0,0.3,3.0,0
Reggie Gilliam,BUF,26,FB,17,0,1,1,100.0%,3,3.0,0,0,0.0,3,3.0,0.1,0.2,0
Antoine Green,DET,24,WR,9,0,2,1,50.0%,2,2.0,0,0,0.0,2,1.0,0.1,0.2,0
Justin Herbert,LAC,25,QB,13,13,1,1,100.0%,10,10.0,0,1,100.0,10,10.0,0.1,0.8,4
Jesper Horsted,LVR,26,TE,13,0,1,1,100.0%,4,4.0,0,0,100.0,4,4.0,0.1,0.3,0
Sam Howell,WAS,23,QB,17,17,1,1,100.0%,4,4.0,0,0,0.0,4,4.0,0.1,0.2,4
Evan Hull,IND,23,RB,1,0,1,1,100.0%,6,6.0,0,0,100.0,6,6.0,1.0,6.0,0
Collin Johnson,CHI,26,WR,3,0,1,1,100.0%,11,11.0,0,1,100.0,11,11.0,0.3,3.7,0
Jakob Johnson,LVR,29,FB,13,5,2,1,50.0%,12,12.0,0,0,50.0,12,6.0,0.1,0.9,0
